id,property_type,room_type,bathrooms,bedrooms,minimum_nights,price(in $)
568161,House,Private room,1,1,2,68
571042,Townhouse,Entire home/apt,2.5,3,4,460
575551,Apartment,Private room,1,1,3,129
576018,House,Entire home/apt,2.5,4,2,"1,000"
578097,Condominium,Entire home/apt,1,2,3,280
580106,Apartment,Private room,1,1,2,93
581216,Apartment,Entire home/apt,1,3,3,139
582335,House,Entire home/apt,3.5,4,4,"1,049"
585225,Apartment,Entire home/apt,1,1,2,99
585326,Guest suite,Entire home/apt,1,1,1,69
587375,House,Entire home/apt,1,2,2,400
589676,House,Private room,1,1,2,105
589767,Apartment,Entire home/apt,1,2,5,295
591524,House,Entire home/apt,1,1,3,195
592883,House,Private room,1,1,30,98
593165,Apartment,Entire home/apt,1,1,30,121
593253,Condominium,Private room,1.5,1,2,95
596042,Apartment,Private room,null,1,30,63
598271,House,Private room,2,1,3,125
598579,Apartment,Entire home/apt,1,1,30,105
602036,Condominium,Entire home/apt,1,3,30,350
602535,House,Entire home/apt,2,3,5,975
604221,Apartment,Entire home/apt,1,2,30,100
604843,Apartment,Private room,1.5,1,31,72
604999,Apartment,Shared room,1,1,30,79
607500,House,Entire home/apt,2.5,3,3,375
616204,Apartment,Entire home/apt,1,3,7,450
616517,Loft,Entire home/apt,1,1,30,279
626349,Condominium,Entire home/apt,1,1,30,123
627358,Apartment,Private room,1,1,30,125
631635,Condominium,Entire home/apt,1,1,30,201
631658,House,Private room,2,2,3,280
631735,House,Private room,1,1,31,50
632303,Apartment,Entire home/apt,1,1,30,95
633629,Apartment,Private room,1,1,30,79
640352,Loft,Entire home/apt,1,1,1,975
640605,Apartment,Entire home/apt,1,1,30,145
640895,Apartment,Entire home/apt,1.5,4,4,500
642672,Apartment,Entire home/apt,1,1,60,178
643918,Apartment,Private room,1,1,30,130
644091,Condominium,Entire home/apt,1,1,3,350
647360,Apartment,Entire home/apt,1,1,1,250
648086,House,Private room,1,1,3,79
651624,House,Private room,1,1,2,85
654279,House,Private room,1,1,3,90
654860,House,Entire home/apt,3.5,5,30,475
655326,Apartment,Entire home/apt,2,2,30,199
657121,Condominium,Entire home/apt,2.5,3,2,949
662754,Apartment,Entire home/apt,1.5,2,9,282
663623,Apartment,Entire home/apt,1.5,2,4,240
664307,Guest suite,Private room,1,1,2,85
664315,House,Entire home/apt,2,3,7,450
677207,House,Entire home/apt,3,3,3,395
678556,Apartment,Entire home/apt,1,1,3,135
680288,Guest suite,Entire home/apt,1,1,2,150
686677,Apartment,Shared room,1.5,1,30,67
687430,House,Private room,3,1,30,35
691023,House,Entire home/apt,2.5,3,4,450
699723,Apartment,Entire home/apt,2,2,4,395
713877,Guest suite,Entire home/apt,1,1,1,145
715543,Loft,Entire home/apt,1.5,2,30,180
715754,Condominium,Entire home/apt,1,1,30,160
719431,Guest suite,Entire home/apt,1,1,4,79
720811,Apartment,Entire home/apt,1,1,3,135
725300,House,Private room,2,2,30,379
726657,Condominium,Entire home/apt,2,2,4,322
727866,Guest suite,Entire home/apt,1,1,1,153
727969,Apartment,Entire home/apt,1,1,30,170
728486,Loft,Entire home/apt,1.5,1,30,175
728585,Guest suite,Entire home/apt,1,1,3,139
728884,House,Entire home/apt,1,2,30,275
732779,House,Entire home/apt,2,3,5,520
734801,Loft,Entire home/apt,1,1,30,162
734839,Apartment,Entire home/apt,1,2,30,185
738493,Apartment,Private room,0.5,1,2,178
738547,Apartment,Entire home/apt,1,2,3,395
741327,Apartment,Entire home/apt,1,1,30,123
746079,Condominium,Private room,1.5,1,1,115
748222,Apartment,Private room,1,1,1,120
748256,Apartment,Private room,1,1,1,120
749744,Condominium,Entire home/apt,1,1,30,175
749990,Apartment,Entire home/apt,1,1,30,225
752607,House,Entire home/apt,1,3,3,350
754117,Apartment,Entire home/apt,1,1,30,152
758815,Apartment,Entire home/apt,1,1,30,135
760794,House,Entire home/apt,1.5,2,14,250
765914,Loft,Entire home/apt,1.5,1,7,399
766516,House,Entire home/apt,1,2,30,144
767506,House,Entire home/apt,2,3,2,410
769734,Cottage,Private room,1,1,2,80
770991,Guest suite,Entire home/apt,1,1,3,139
774323,Condominium,Private room,1,1,2,140
776239,House,Entire home/apt,2,3,4,645
778520,Apartment,Private room,1,1,4,129
779109,Townhouse,Private room,1,1,1,160
781945,Apartment,Entire home/apt,2,2,183,250
782126,House,Private room,1.5,1,1,50
783135,Apartment,Entire home/apt,1,1,5,160
783821,Apartment,Entire home/apt,1,1,30,250
785901,Hostel,Shared room,null,1,1,45
786492,Hostel,Shared room,null,1,1,45
786506,Hostel,Shared room,null,1,1,45
794626,Apartment,Entire home/apt,1,1,2,120
795254,Guest suite,Entire home/apt,1,1,3,150
797887,Apartment,Private room,1,1,30,57
802559,Bungalow,Entire home/apt,1,2,4,180
802839,Apartment,Entire home/apt,1,3,3,300
806199,Loft,Entire home/apt,1.5,1,3,325
808660,Apartment,Entire home/apt,1,2,30,130
808919,Condominium,Private room,1.5,1,3,110
810315,Apartment,Private room,1,1,30,70
811374,Apartment,Entire home/apt,1,1,30,105
815183,Bungalow,Private room,1,1,30,40
819856,Condominium,Entire home/apt,2,2,30,289
819863,Apartment,Entire home/apt,1,1,1,135
829185,House,Entire home/apt,1.5,2,3,699
830330,Apartment,Entire home/apt,1,1,3,135
830576,Apartment,Entire home/apt,1,1,200,175
830997,Apartment,Entire home/apt,1,1,30,200
833149,Bungalow,Entire home/apt,1,1,30,125
837045,Apartment,Entire home/apt,1,2,2,249
837490,Apartment,Private room,1,2,31,300
840986,Apartment,Entire home/apt,1,1,2,145
842269,House,Shared room,2.5,1,30,30
845480,House,Private room,1.5,3,3,70
845501,House,Private room,2,3,3,65
845502,House,Entire home/apt,1.5,2,7,875
848578,House,Private room,1,1,3,70
851889,Loft,Entire home/apt,1,1,3,300
856123,Condominium,Private room,1,1,1,168
859310,Apartment,Private room,1,1,31,135
859336,Apartment,Private room,1,1,2,109
862201,Apartment,Entire home/apt,1,0,30,179
863987,Condominium,Entire home/apt,1,1,30,141
865873,Apartment,Entire home/apt,1,2,30,375
867499,House,Private room,1.5,1,4,150
867530,Guesthouse,Entire home/apt,1,0,30,95
867555,Townhouse,Entire home/apt,1.5,2,5,549
870532,Apartment,Entire home/apt,1,2,30,145
870705,Apartment,Entire home/apt,2,2,3,360
872206,House,Private room,6.5,1,32,64
872246,Apartment,Entire home/apt,2,2,180,205
873705,House,Entire home/apt,2,4,2,425
878935,Apartment,Entire home/apt,1,2,30,190
881105,Apartment,Entire home/apt,1.5,1,3,475
883937,Apartment,Entire home/apt,1,1,4,175
884770,Apartment,Private room,1,1,1,123
890875,Apartment,Entire home/apt,1,2,2,269
900393,Condominium,Entire home/apt,1,2,30,295
900569,Guest suite,Private room,1,1,30,79
900941,Apartment,Entire home/apt,1,1,90,545
902377,Apartment,Private room,1,1,30,55
902435,Condominium,Entire home/apt,1,1,30,199
905399,Apartment,Private room,1,1,5,85
905902,Apartment,Entire home/apt,1,2,30,185
909063,Apartment,Private room,1,1,4,93
911029,Condominium,Entire home/apt,2,2,30,150
915058,House,Entire home/apt,2,4,2,859
918341,House,Entire home/apt,1,1,1,240
923807,Apartment,Private room,3,1,30,57
929468,Loft,Entire home/apt,1,1,5,175
930955,Condominium,Entire home/apt,2,3,30,400
931313,Apartment,Entire home/apt,1,1,30,101
932481,House,Entire home/apt,2.5,3,5,990
934012,Apartment,Entire home/apt,1,1,30,115
936209,Apartment,Private room,0,1,2,250
937842,Apartment,Private room,1.5,1,1,100
938330,Apartment,Entire home/apt,1,1,30,130
943851,Apartment,Entire home/apt,1.5,2,30,136
945748,Apartment,Entire home/apt,1,1,2,275
950094,House,Private room,1,1,30,79
955071,Apartment,Private room,1,1,30,55
958507,House,Entire home/apt,1,3,31,220
961900,Loft,Entire home/apt,2,1,30,179
964751,Guest suite,Entire home/apt,1,1,30,140
964952,Condominium,Entire home/apt,2,3,5,600
968046,Condominium,Private room,1,1,2,105
968308,Condominium,Private room,1,1,30,175
968852,Apartment,Entire home/apt,1,1,1,360
971069,Apartment,Private room,1,1,30,99
971116,House,Private room,1,1,2,115
975482,Serviced apartment,Hotel room,2,2,30,300
980783,Apartment,Entire home/apt,1,1,30,181
982298,House,Entire home/apt,2,4,3,495
983739,Townhouse,Private room,1,1,30,75
991765,House,Entire home/apt,2,3,4,250
992676,Guest suite,Entire home/apt,1,1,1,135
992913,Apartment,Private room,1,1,2,79
997382,House,Private room,2,1,1,53
1001415,Apartment,Entire home/apt,1,1,4,325
1001422,Apartment,Entire home/apt,1,1,31,200
1001759,Apartment,Private room,1,1,30,99
1003756,Condominium,Entire home/apt,1.5,2,3,272
1005642,Apartment,Private room,1,1,2,115
1007157,House,Entire home/apt,1,4,30,230
1011292,House,Entire home/apt,2,2,120,250
1011751,House,Private room,3,1,2,50
1015336,House,Entire home/apt,2,3,30,775
1016604,House,Entire home/apt,2,3,4,399
1017799,Apartment,Private room,1,1,1,75
1018426,Loft,Shared room,1,1,30,311
1023586,Apartment,Private room,1,1,1,65
1029621,Condominium,Entire home/apt,1.5,2,3,310
1030352,Apartment,Entire home/apt,1,2,30,259
1031899,Apartment,Entire home/apt,null,1,30,127
1033754,House,Entire home/apt,2,3,1,300
1036860,Apartment,Entire home/apt,1,2,2,298
1037251,Apartment,Entire home/apt,1,1,30,140
1038324,Apartment,Private room,1.5,1,30,93
1043282,House,Private room,1,1,1,111
1053666,Guest suite,Entire home/apt,1,1,31,180
1056006,Condominium,Entire home/apt,2,3,30,255
1056844,Loft,Shared room,1.5,1,2,74
1059961,Apartment,Shared room,1,1,58,"5,000"
1069167,Guest suite,Private room,1,1,1,76
1076743,Condominium,Entire home/apt,1,2,2,575
1077444,Bed and breakfast,Private room,1,1,2,120
1080408,House,Private room,1,1,1,90
1080980,Loft,Entire home/apt,2,2,1,595
1083810,House,Private room,2,1,3,188
1084068,Loft,Entire home/apt,1.5,1,365,180
1087427,House,Private room,1,1,7,68
1094207,Apartment,Entire home/apt,1,1,30,100
1098003,House,Entire home/apt,3,3,3,500
1103797,Apartment,Entire home/apt,2,3,2,500
1104362,Guest suite,Entire home/apt,1,1,30,192
1104912,Apartment,Entire home/apt,1,1,2,159
1106534,Guesthouse,Entire home/apt,1,2,30,250
1107014,House,Entire home/apt,3,4,2,950
1109534,Condominium,Entire home/apt,2,3,2,500
1110001,House,Entire home/apt,1,1,30,175
1110346,Condominium,Private room,1,1,2,128
1110787,Apartment,Entire home/apt,1,1,30,149
1117813,House,Entire home/apt,1,2,30,150
1121697,Apartment,Entire home/apt,1.5,5,30,500
1123125,House,Private room,1.5,1,2,120
1125079,House,Private room,3,1,2,45
1125115,House,Private room,3,1,2,40
1130628,Apartment,Private room,1,1,30,79
1133372,Condominium,Entire home/apt,1,3,2,138
1135632,Apartment,Private room,1,1,3,150
1138420,Apartment,Entire home/apt,1,1,30,225
1140449,Apartment,Private room,1,1,31,120
1141986,Apartment,Entire home/apt,1,1,360,90
1142101,House,Entire home/apt,2,3,7,290
1145582,Apartment,Entire home/apt,2,2,50,140
1148625,Condominium,Private room,1.5,1,3,125
1151109,House,Entire home/apt,2,2,30,799
1151864,Apartment,Entire home/apt,2,2,180,185
1159284,Condominium,Entire home/apt,1,1,30,290
1162640,House,Entire home/apt,2,3,30,149
1171918,Loft,Entire home/apt,2,2,2,245
1174214,Townhouse,Private room,1,1,2,395
1174537,Townhouse,Entire home/apt,1,2,30,300
1174758,Apartment,Entire home/apt,1,2,30,300
1177310,Guesthouse,Entire home/apt,1,1,30,120
1178260,Apartment,Entire home/apt,1.5,2,30,160
1178281,Condominium,Entire home/apt,1,2,3,275
1182465,Apartment,Entire home/apt,1,2,2,99
